"ISO2","collectedBy_self","collectedBy_others","collected_total","housedFrom_self","housedFrom_other","housed_total","centroid.lon","centroid.lat"
"FM",0,1709,1709,0,0,0,158.235,6.883
"FO",0,936,936,0,0,0,-7,62
"FR",12415,15688,19577,12415,125084,128604,2,46
"GA",4148,6250,6292,4148,219,4186,11.75,-1
"GB",9635,7934,12691,9635,205434,207464,-2,54
"GD",0,1619,1619,0,0,0,-61.6667,12.1167
"GE",170,4575,4604,170,236,268,43.5,42
"GF",0,6886,6886,0,0,0,-53.241,3.924
"GG",0,288,288,0,0,0,-2.58333333333,49.4666666667
"GH",3556,4164,4841,3556,3087,4988,-1,8
"GI",0,307,307,0,0,0,-5.35,36.133333
"GL",0,1701,1701,0,0,0,-40,72
"GM",0,587,587,0,0,0,-15.386,13.453
"GN",1813,4242,4330,1813,0,1813,-10,5
"GP",0,3946,3946,0,0,0,-61.5833,16.25
"GQ",0,4121,4121,0,0,0,10,2
"GR",0,7711,7711,0,0,0,22,39
"GS",0,469,469,0,0,0,-36.891,-54.209
"GT",0,11110,11110,0,0,0,-90.3667,14.6333
"GU",0,1232,1232,0,0,0,144.707,13.385
"GW",0,1438,1438,0,0,0,-15,12
"GY",0,9640,9640,0,0,0,-59,5
"HM",0,76,76,0,0,0,72.5166666667,-53.1
"HN",0,8681,8681,0,0,0,-86.5,15
"HR",0,4126,4126,0,0,0,15.5,45.1667
"HT",0,5431,5431,0,0,0,-72.416667,19
"HU",0,4681,4681,0,0,0,20,47
"ID",1349,28801,28918,1349,12,1352,120,0
"IE",0,2995,2995,0,0,0,-8,53.333333
"IL",1372,2872,3255,1372,687,1478,34.75,31.5
"IM",0,269,269,0,0,0,-4.527,54.229
"IN",1872,21612,21655,1872,0,1872,77,20
"IO",0,263,263,0,0,0,71.5,-6
"IQ",0,2875,2875,0,0,0,44,33
"IR",0,7829,7829,0,0,0,53,32
"IS",1485,1558,2051,1485,0,1485,-18,65
"IT",5193,10723,11202,5193,3673,7375,12.833333,42.833333
"JE",0,337,337,0,0,0,-2.1167,49.2167
"JM",871,9707,9735,871,3,874,-77.25,18.166667
"JO",0,1829,1829,0,0,0,35.557,31.763
"JP",11568,10726,14280,11568,7034,15878,138,36
"KE",1357,7969,8026,1357,0,1357,38,1
"KG",0,3407,3407,0,0,0,75,41.5
"KH",0,3344,3344,0,0,0,105,13
"KI",0,549,549,0,0,0,-170,-5
"KM",0,1852,1852,0,0,0,43.833333,-12
"KN",0,1034,1034,0,0,0,-62.75,17.3333333333
"KP",0,2433,2433,0,0,0,126.451,39.778
"KR",7140,2594,7905,7140,2293,7357,128.103,36.504
"KW",0,372,372,0,0,0,47.75,29.5
"KY",0,671,671,0,0,0,-81.198,19.314
"KZ",0,5092,5092,0,0,0,62,48
"LA",0,4574,4574,0,0,0,105,18
"LB",0,2699,2699,0,0,0,35.8333,33.8333
"LC",0,1203,1203,0,0,0,-60.969,13.898
"LI",0,713,713,0,0,0,9.533333,47.166667
"LK",0,6783,6783,0,0,0,81,7
"LR",0,2982,2982,0,0,0,-9.5,6.5
"LS",0,2536,2536,0,0,0,28.25,-29.5
"LT",0,830,830,0,0,0,24,56
"LU",1820,1563,2334,1820,1778,2841,6.166667,49.75
"LV",1678,1866,2468,1678,0,1678,25,57
"LY",0,1186,1186,0,0,0,17,25
"MA",892,6224,6276,892,187,943,-6,32
"MC",0,164,164,0,0,0,7.419444,43.733333
"MD",0,1194,1194,0,0,0,28.583333,47.25
